@relation names_marked_features

@attribute Input {Amira,Kawkab,Faheem,Faisal,Adam,Omar,Layla,Dawud,Bashir,Afeefah,Asim,Ismail,Hussein,Bushra,Nida,Iman,Hala,Naeema,Fareed,Shakir,Ghaliya,BadrUddin,Aneesa,Sharifa,Aakifa,Ubaid,Husna,Arif,Safa,Faris,Aamir,Farida,Shahid,Huda,Mujtaba,Eisa,Nadia,Afra,Sharif,Aziza,Umair,Ahmad,Irfan,Shuaib,Amal,Murad,Furqan,Abida,Muneeb,Khadijah,Abeer,Areej,Habib,Urwa,Aida,Afia,Adeeb,Noor,Iffat,Nafisa,Farhan,Aatika,Burhan,Maleeha,Munira,Zeenat,Maymouna,Saadiya,Inaya,Firdous,Khalida,Luqman,Almas,Qamar,Uqbah,Falak,AbdulAlim,Arshad,Azra,Amjad,Khawlah,Akram,Hadiyya,Asiyah,Hashim,Jamila,Ajmal,Anas,Adeela,Aqeel,Raniya,Munir,Maha,Imran,Asma,Hamza,Bilal,Anees,Amina}
@attribute Output {Negative,Positive}
@attribute length numeric
@attribute vovel_count numeric
@attribute consonent_count numeric
@attribute start_with_vovel numeric
@attribute 'Len > 4' numeric
@attribute even_len numeric
@attribute first_vovel_position numeric
@attribute first_consonent_position numeric
@attribute ends_with_vovel numeric
@attribute second_is_vovel numeric

@data
Amira,Negative,5,3,2,1,1,0,1,2,1,0
Kawkab,Positive,6,2,4,0,1,1,2,1,0,1
Faheem,Positive,6,3,3,0,1,1,2,1,0,1
Faisal,Positive,6,3,3,0,1,1,2,1,0,1
Adam,Negative,4,2,2,1,0,1,1,2,0,0
Omar,Negative,4,2,2,1,0,1,1,2,0,0
Layla,Positive,5,2,3,0,1,0,2,1,1,1
Dawud,Positive,5,2,3,0,1,0,2,1,0,1
Bashir,Positive,6,2,4,0,1,1,2,1,0,1
Afeefah,Negative,7,4,3,1,1,0,1,2,0,0
Asim,Negative,4,2,2,1,0,1,1,2,0,0
Ismail,Negative,6,3,3,1,1,1,1,2,0,0
Hussein,Positive,7,3,4,0,1,0,2,1,0,1
Bushra,Positive,6,3,3,0,1,1,2,1,1,1
Nida,Positive,4,3,1,0,0,1,2,1,1,1
Iman,Negative,4,3,1,1,0,1,1,2,0,0
Hala,Positive,4,3,1,0,0,1,2,1,1,1
Naeema,Positive,6,4,2,0,1,1,2,1,1,1
Fareed,Positive,6,3,3,0,1,1,2,1,0,1
Shakir,Negative,6,3,3,0,1,1,3,1,0,0
Ghaliya,Negative,7,4,3,0,1,0,3,1,1,0
BadrUddin,Positive,9,3,6,0,1,0,2,1,0,1
Aneesa,Negative,6,4,2,1,1,1,1,2,1,0
Sharifa,Negative,7,3,4,0,1,0,3,1,1,0
Aakifa,Positive,6,4,2,1,1,1,1,3,1,1
Ubaid,Negative,5,3,2,1,1,0,1,2,0,0
Husna,Positive,5,2,3,0,1,0,2,1,1,1
Arif,Negative,4,2,2,1,0,1,1,2,0,0
Safa,Positive,4,2,2,0,0,1,2,1,1,1
Faris,Positive,5,2,3,0,1,0,2,1,0,1
Aamir,Positive,5,3,2,1,1,0,1,3,0,1
Farida,Positive,6,3,3,0,1,1,2,1,1,1
